iter	Passed	Remaining
405	4511	6600
406	4520	6585
407	4528	6570
408	4537	6556
409	4546	6542
410	4555	6528
411	4564	6513
412	4575	6502
413	4584	6489
414	4593	6474
415	4602	6460
416	4611	6446
417	4620	6433
418	4629	6419
419	4638	6405
420	4647	6391
421	4656	6377
422	4664	6362
423	4672	6347
424	4681	6333
425	4689	6319
426	4698	6304
427	4706	6290
428	4715	6276
429	4723	6261
430	4733	6248
431	4742	6235
432	4751	6221
433	4759	6207
434	4769	6195
435	4778	6180
436	4787	6168
437	4797	6155
438	4806	6141
439	4816	6129
440	4826	6117
441	4835	6104
442	4844	6091
443	4854	6079
444	4863	6065
445	4872	6052
446	4883	6041
447	4892	6028
448	4903	6017
449	4913	6005
450	4923	5993
451	4936	5984
452	4948	5975
453	4958	5963
454	4968	5951
455	4978	5939
456	4987	5926
457	4996	5913
458	5006	5900
459	5015	5887
460	5024	5874
461	5033	5861
462	5042	5848
463	5051	5834
464	5060	5822
465	5069	5809
466	5079	5797
467	5088	5784
468	5098	5772
469	5108	5760
470	5117	5747
471	5127	5735
472	5136	5722
473	5146	5710
474	5156	5698
475	5165	5686
476	5177	5677
477	5188	5666
478	5198	5653
479	5207	5641
480	5216	5628
481	5225	5616
482	5234	5603
483	5243	5590
484	5252	5577
485	5261	5565
486	5271	5552
487	5280	5539
488	5289	5527
489	5298	5514
490	5307	5502
491	5316	5489
492	5326	5477
493	5335	5465
494	5344	5452
495	5353	5440
496	5362	5427
497	5372	5415
498	5381	5403
499	5390	5390
500	5400	5378
501	5409	5366
502	5418	5354
503	5426	5340
504	5435	5327
505	5443	5314
506	5452	5302
507	5460	5288
508	5469	5275
509	5476	5261
510	5485	5248
511	5492	5235
512	5501	5222
513	5509	5209
514	5520	5198
515	5531	5188
516	5547	5182
517	5559	5173
518	5571	5163
519	5584	5154
520	5595	5144
521	5605	5133
522	5617	5123
523	5628	5112
524	5637	5101
525	5647	5089
526	5657	5077
527	5667	5066
528	5677	5055
529	5686	5042
530	5694	5029
531	5702	5016
532	5710	5003
533	5717	4989
534	5726	4977
535	5734	4963
536	5742	4951
537	5750	4938
538	5758	4925
539	5766	4912
540	5775	4899
541	5783	4886
542	5791	4874
543	5800	4862
544	5809	4849
545	5818	4838
546	5829	4827
547	5838	4815
548	5848	4804
549	5858	4793
550	5867	4781
551	5876	4769
552	5885	4757
553	5894	4745
554	5903	4733
555	5912	4721
556	5920	4709
557	5929	4696
558	5941	4687
559	5951	4676
560	5961	4664
561	5971	4653
562	5982	4643
563	5994	4633
564	6004	4623
565	6013	4611
566	6023	4599
567	6032	4587
568	6041	4576
569	6049	4563
570	6058	4551
571	6067	4540
572	6075	4527
573	6086	4517
574	6097	4506
575	6107	4495
576	6117	4484
577	6127	4473
578	6138	4463
579	6150	4453
580	6160	4442
581	6172	4433
582	6184	4423
583	6194	4412
584	6205	4402
585	6216	4391
586	6226	4381
587	6237	4370
588	6248	4360
589	6258	4348
590	6268	4338
591	6279	4327
592	6289	4316
593	6300	4306
594	6311	4295
595	6321	4285
596	6331	4274
597	6342	4263
598	6351	4252
599	6362	4241
600	6372	4230
601	6381	4218
602	6390	4207
603	6399	4195
604	6408	4184
605	6418	4172
606	6428	4161
607	6438	4150
608	6449	4140
609	6460	4130
610	6470	4119
611	6480	4108
612	6490	4097
613	6500	4086
614	6509	4075
615	6519	4063
616	6529	4053
617	6539	4042
618	6548	4030
619	6559	4020
620	6569	4009
621	6579	3998
622	6588	3987
623	6598	3976
624	6608	3964
625	6617	3953
626	6627	3942
627	6638	3932
628	6649	3922
629	6660	3911
630	6671	3901
631	6681	3890
632	6692	3880
633	6707	3872
634	6717	3861
635	6729	3851
636	6739	3840
637	6751	3830
638	6760	3819
639	6771	3808
640	6780	3797
641	6790	3786
642	6799	3775
643	6808	3763
644	6818	3752
645	6827	3741
646	6836	3730
647	6845	3718
648	6856	3708
649	6865	3696
650	6875	3685
651	6884	3674
652	6894	3663
653	6904	3652
654	6913	3641
655	6924	3630
656	6934	3620
657	6943	3608
658	6954	3598
659	6965	3588
660	6975	3577
661	6985	3566
662	6997	3556
663	7008	3546
664	7022	3537
665	7038	3529
666	7055	3522
667	7073	3515
668	7088	3507
669	7100	3497
670	7110	3486
671	7120	3475
672	7130	3464
673	7138	3452
674	7148	3442
675	7157	3430
676	7167	3419
677	7177	3408
678	7186	3397
679	7195	3386
680	7204	3374
681	7215	3364
682	7224	3353
683	7234	3342
684	7248	3333
685	7259	3323
686	7270	3312
687	7282	3302
688	7293	3291
689	7303	3281
690	7315	3271
691	7326	3260
692	7335	3249
693	7347	3239
694	7359	3229
695	7368	3218
696	7379	3208
697	7390	3197
698	7401	3187
699	7415	3177
700	7427	3168
701	7439	3158
702	7450	3147
703	7463	3138
704	7474	3127
705	7485	3117
706	7497	3107
707	7508	3096
708	7519	3086
709	7530	3075
710	7541	3065
711	7553	3055
712	7563	3044
713	7573	3033
714	7583	3022
715	7592	3011
716	7615	3005
717	7632	2997
718	7653	2990
719	7671	2983
720	7689	2975
721	7704	2966
722	7720	2958
723	7738	2950
724	7749	2939
725	7759	2928
726	7773	2919
727	7788	2910
